0,1,2,3,4,5,6,7,8,9,10,11
0,2,4,5,7,9,11,NaN,NaN,NaN,NaN,NaN
0,2,3,5,7,9,11,NaN,NaN,NaN,NaN,NaN
0,4,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,4,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,4,7,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,7,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,4,7,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,7,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,7,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,4,8,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,6,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,6,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,3,7,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2,4,7,9,11,NaN,NaN,NaN,NaN,NaN,NaN
0,2,3,7,9,11,NaN,NaN,NaN,NaN,NaN,NaN
